Zip Code,Idk,City,State,Status,Lat,Lon
92174,PO BOX,SAN DIEGO,CA,PRIMARY,32.7,-117.08
92175,PO BOX,SAN DIEGO,CA,PRIMARY,32.76,-117.06
92176,PO BOX,SAN DIEGO,CA,PRIMARY,32.76,-117.12
92177,PO BOX,SAN DIEGO,CA,PRIMARY,32.82,-117.19
92178,PO BOX,CORONADO,CA,PRIMARY,32.68,-117.17
92178,PO BOX,SAN DIEGO,CA,ACCEPTABLE,32.68,-117.17
92179,PO BOX,SAN DIEGO,CA,PRIMARY,32.56,-116.97
92182,UNIQUE,SAN DIEGO,CA,PRIMARY,32.76,-117.07
92182,UNIQUE,SAN DIEGO STATE UNIVERSITY,CA,NOT ACCEPTABLE,32.76,-117.07
92184,UNIQUE,SAN DIEGO,CA,PRIMARY,32.71,-117.16
92184,UNIQUE,SAN DIEGO GAS AND ELECTRIC,CA,NOT ACCEPTABLE,32.71,-117.16
92186,PO BOX,SAN DIEGO,CA,PRIMARY,32.74,-117.2
92187,UNIQUE,SAN DIEGO,CA,PRIMARY,32.72,-117.16
92187,UNIQUE,SAN DIEGO WATER UTILITIES,CA,NOT ACCEPTABLE,32.72,-117.16
92190,PO BOX,SAN DIEGO,CA,PRIMARY,32.78,-117.09
92191,PO BOX,SAN DIEGO,CA,PRIMARY,32.9,-117.21
92192,PO BOX,SAN DIEGO,CA,PRIMARY,32.85,-117.21
92193,PO BOX,SAN DIEGO,CA,PRIMARY,32.8,-117.14
92195,PO BOX,SAN DIEGO,CA,PRIMARY,32.74,-117.05
92196,PO BOX,SAN DIEGO,CA,PRIMARY,32.91,-117.12
92197,STANDARD,SAN DIEGO,CA,PRIMARY,32.83,-117.2
92198,PO BOX,SAN DIEGO,CA,PRIMARY,32.99,-117.07
92199,STANDARD,SAN DIEGO,CA,PRIMARY,32.99,-117.07
