coordinates
147,"(32.7689978, -117.2339863)"
148,"(32.7935599, -117.1453696)"
149,"(32.8011634, -117.2256243)"
150,"(32.8011634, -117.2256243)"
151,"(32.8192456, -117.1672114)"
152,"(32.8011634, -117.2256243)"
153,"(32.8912198, -117.2050809)"
154,"(32.976469, -117.0833632)"
155,"(29.6952708, -95.0925374)"
156,"(32.7909877, -117.253696)"
157,"(32.7503578, -117.1464041)"
158,"(39.9523167, -75.1664857)"
159,"(32.8202015, -117.1642752)"
160,"(32.6864142, -117.1259214)"
161,"(44.3213893, -88.18842479999999)"
162,"(44.3213893, -88.18842479999999)"
163,"(38.9009929, -77.02992809999999)"
164,"(40.771609, -73.9904621)"
165,"(32.7983074, -117.2520995)"
166,"(42.08576499999999, -88.02132399999999)"
167,"(34.0396626, -118.5039313)"
168,"(37.8684944, -122.2941347)"
169,"(33.9596455, -118.4468384)"
170,"(40.6676017, -73.89477409999999)"
171,"(32.8162553, -117.1840977)"
172,"(32.75538179999999, -117.1373949)"
173,"(32.7762065, -117.0995738)"
174,"(29.4337851, -97.1762291)"
175,"(32.7413706, -117.2504994)"
176,"(32.8002601, -117.153975)"
177,"(32.7012228, -117.1225988)"
178,"(32.8663862, -117.2165122)"
179,"(32.8098215, -117.2536713)"
180,"(32.7537007, -117.2041865)"
181,"(32.7989054, -117.1453652)"
182,"(32.8320835, -117.2753987)"
183,"(32.793358, -117.242813)"
184,"(32.8770304, -117.2338376)"
185,"(48.4953529, -122.6586444)"
186,"(32.750598, -117.2398139)"
187,"(32.7707144, -117.0686005)"
188,"(38.9009929, -77.02992809999999)"
189,"(32.7866836, -117.1164392)"
190,"(32.9128112, -117.1427719)"
191,"(37.7822159, -122.4103786)"
192,"(32.7064261, -117.1273491)"
193,"(32.7575855, -117.0815742)"
194,"(32.7678126, -117.2337529)"
195,"(32.7634644, -117.2322368)"
196,"(32.7678126, -117.2337529)"
197,"(32.7678126, -117.2337529)"
198,"(32.8319142, -117.1948625)"
199,"(32.6855502, -117.0350431)"
200,"(32.799793, -117.240852)"
201,"(32.799793, -117.240852)"
202,"(32.8005993, -117.2371469)"
203,"(32.8277656, -117.2061953)"
204,"(32.7854814, -117.0626471)"
205,"(32.7430589, -117.2490665)"
206,"(33.6851031, -101.3874876)"
207,"(32.7505549, -117.2426546)"
208,"(32.7934202, -117.1936064)"
209,"(32.9025472, -117.1220505)"
210,"(32.8726694, -117.2139278)"
211,"(32.7563, -117.1016642)"
